127.0.0.1 - - [11/Dec/2016:16:39:18 -0700] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:39:18 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:39:21 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:49:55 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:07 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:07 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:11 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:11 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:13 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:13 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:13 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:13 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:14 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:14 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:14 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:14 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:16 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:16 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:17 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:17 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:18 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:18 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:20 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:20 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:21 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:21 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:23 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:23 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:24 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:24 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:37 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:37 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:38 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:38 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:42 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:42 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:46 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:16:50:46 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 823
